Transaction_ID,Transaction_Date,SKU_ID,Product_Category,Customer_Name,Customer_Segment,List_Price,Invoice_Price,Unit_Cost,Quantity,On_Invoice_Disc,Off_Invoice_Rebate,Freight_Cost
TXN-1000,2026-01-24,PUMP-01,Industrial,Figueroa and Sons,Mid-Market,486.02,445.67,261.61,88,40.35,8.75,17.4
TXN-1001,2026-01-09,MOTOR-X,Electronics,"Garcia, Yang and Gardner",Mid-Market,1517.42,1398.45,795.18,20,118.97,52.19,29.39
TXN-1002,2026-01-22,HOSE-09,Accessories,Johnson and Sons,Mid-Market,46.2,35.31,14.02,72,10.89,0.71,5.17
TXN-1003,2026-01-09,PUMP-01,Industrial,"Johnson, Gonzalez and Santos",Strategic,483.27,415.34,260.15,96,67.93,10.66,13.4
TXN-1004,2026-01-21,SEAL-05,Accessories,Cole LLC,Strategic,11.5,9.95,5.3,10,1.55,0.08,20.8
TXN-1005,2026-01-30,PUMP-01,Industrial,Blake and Sons,Mid-Market,479.04,425.92,232.6,17,53.12,2.56,27.31
TXN-1006,2026-01-26,MOTOR-X,Electronics,Ramirez-Lewis,Strategic,1534.0,1477.79,759.98,79,56.21,70.41,15.52
TXN-1007,2026-01-29,VALVE-22,Hydraulics,Davis Inc,Distributor,125.38,96.79,57.06,2,28.59,0.07,25.19
TXN-1008,2026-01-14,SEAL-05,Accessories,Munoz-Roman,Mid-Market,12.19,9.29,4.66,81,2.9,0.36,28.07
TXN-1009,2026-01-28,MOTOR-X,Electronics,"Martinez, Nielsen and Miller",Retail,1513.31,1391.53,749.12,18,121.78,2.08,8.84
TXN-1010,2026-01-11,PUMP-01,Industrial,"Montgomery, Hensley and Ray",Strategic,481.34,415.63,226.05,77,65.71,8.58,13.65
TXN-1011,2026-01-27,HOSE-09,Accessories,Stanley LLC,Mid-Market,45.62,39.11,13.66,95,6.51,1.42,20.59
TXN-1012,2026-02-06,VALVE-22,Hydraulics,Delacruz Group,Strategic,115.28,105.24,55.96,65,10.04,2.18,18.49
TXN-1013,2026-01-11,PUMP-01,Industrial,"Flowers, Martin and Kelly",Mid-Market,497.41,490.58,233.23,95,6.83,1.31,20.68
TXN-1014,2026-01-25,HOSE-09,Accessories,"Zuniga, Wong and Lynch",Retail,44.53,41.01,14.36,6,3.52,1.8,6.56
TXN-1015,2026-01-07,HOSE-09,Accessories,"Sanchez, Ford and Nelson",Retail,44.82,37.41,14.82,35,7.41,0.11,5.75
TXN-1016,2026-02-04,PUMP-01,Industrial,"Hawkins, Cohen and Cameron",Strategic,500.83,391.12,240.5,12,109.71,0.48,27.03
TXN-1017,2026-01-29,HOSE-09,Accessories,Underwood LLC,Mid-Market,43.28,37.4,13.75,48,5.88,1.31,11.99
TXN-1018,2026-01-15,HOSE-09,Accessories,Clark PLC,Distributor,44.24,38.68,14.71,29,5.56,0.98,14.94
TXN-1019,2026-02-02,MOTOR-X,Electronics,Lewis-Porter,Distributor,1511.76,1433.02,842.21,58,78.74,36.67,28.45
TXN-1020,2026-02-02,PUMP-01,Industrial,"Ellis, Baker and Wright",Distributor,488.9,403.13,232.52,61,85.77,3.51,20.87
TXN-1021,2026-01-21,HOSE-09,Accessories,Burgess-Patterson,Retail,44.77,39.73,16.1,56,5.04,0.23,24.14
TXN-1022,2026-01-22,HOSE-09,Accessories,Robinson-Bright,Mid-Market,42.84,34.95,14.93,12,7.89,0.92,25.71
TXN-1023,2026-01-19,SEAL-05,Accessories,Campos Inc,Strategic,12.05,11.39,5.13,48,0.66,0.17,27.53
